Date Recorded,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Longitude,Latitude,Max_Temperature_C,Precipitation_mm
2019-04-01,2018,Derby,86 KINGS CT,111440.0,92500.0,1.2047,Single Family,Single Family,-73.0641746,41.3224662,6.7,0.0
2019-04-01,2018,New Britain,220-E BRITTANY FARMS,75740.0,130000.0,0.5826,Condo,Condo,-72.77455,41.7123,6.3,0.0
2019-04-08,2018,East Hampton,54 EMILY LANE,231820.0,315000.0,0.7359,Single Family,Single Family,-72.5115658,41.5477745,15.2,10.9
2019-04-01,2018,New Britain,112 ROOSEVELT ST,96530.0,104900.0,0.9202,Single Family,Single Family,-72.7582032,41.650431,7.0,0.0
2019-04-29,2018,Easton,210 JUDD ROAD,400480.0,510000.0,0.7852,Single Family,Single Family,-73.2905589,41.3064823,14.4,0.0
2019-04-01,2018,Ellington,10 FLORENCE AVE,175320.0,107000.0,1.6385,Single Family,Single Family,-73.050416,41.3213546,6.9,0.0
2019-04-08,2018,Fairfield,160 WARDE TERRACE,260750.0,330000.0,0.7901,Single Family,Single Family,-73.2404824,41.1874913,17.4,9.8
2019-04-29,2018,Clinton,133 WEST MAIN ST LOT C-4,33400.0,4500.0,7.422222222,Single Family,Single Family,-72.54104,41.2775,12.3,0.0
2019-04-15,2018,Milford,9 HILLSIDE AVE,761810.0,1095000.0,0.6957,Single Family,Single Family,-73.0070024,41.215246,17.2,21.5
2019-04-08,2018,East Granby,221 NEWGATE ROAD,255000.0,369000.0,0.691,Single Family,Single Family,-72.74533,41.97839,9.8,11.9
2019-04-01,2018,Enfield,74 ABBE RD,149570.0,215000.0,0.6956,Single Family,Single Family,-72.5282805,41.9752361,6.1,0.0
2019-04-08,2018,East Haven,140 THOMPSON ST #17D,71400.0,119900.0,0.5954,Condo,Condo,-72.8534403,41.3249975,15.8,8.9
2019-04-01,2018,New Milford,81 GLEN RIDGE CT,83020.0,140000.0,0.593,Condo,Condo,-73.4232099,41.5847733,6.7,0.0
2019-04-15,2018,Bristol,90 EL TORO DR,154630.0,227000.0,0.6811,Single Family,Single Family,-72.9540798,41.7048559,17.5,21.2
2019-04-01,2018,Bloomfield,33 WALKER LN,82110.0,110000.0,0.7464,Single Family,Single Family,-72.6926935,41.8334413,6.3,0.0
2019-04-01,2018,Manchester,22 ARDMORE ROAD,108100.0,150000.0,0.7206,Single Family,Single Family,-72.509513,41.7815433,6.3,0.0
2019-04-29,2018,Newtown,17 ROBIN HILL ROAD,609010.0,700000.0,0.87,Single Family,Single Family,-72.1447724,41.3273043,12.0,0.0
2019-04-15,2018,East Windsor,11 KEVIN DR,101080.0,129900.0,0.7781,Condo,Condo,-72.6038195,41.885196,17.9,18.9
2019-04-08,2018,East Granby,51 SCHOOLHOUSE LANDING,173300.0,246000.0,0.7044,Condo,Condo,-72.72614,41.93881,10.3,10.9
2019-04-15,2018,East Hartford,100 CROSS DR,91890.0,142000.0,0.6471,Single Family,Single Family,-72.6122778,41.7428587,18.8,18.8
2019-04-01,2018,Branford,23 SURREY LA,264700.0,316500.0,0.8363,Single Family,Single Family,-72.7943836,41.3054357,7.6,0.0
2019-04-22,2018,Brooklyn,332 ALLEN HILL RD,153600.0,235000.0,0.6536,Single Family,Single Family,-71.921069,41.7804229,16.6,18.5
2019-04-22,2018,East Hartford,37 BRIARWOOD LN,109100.0,225000.0,0.484888889,Single Family,Single Family,-72.6035829,41.7615119,17.5,20.6
2019-04-22,2018,Brookfield,35 DEER RUN RD,212150.0,374000.0,0.5672,Single Family,Single Family,-73.0151136,41.3375933,16.1,16.0
2019-04-08,2018,Bridgeport,220 TESINY AVE,113520.0,216000.0,0.5255,Single Family,Single Family,-73.2083055,41.2145309,19.2,9.3
2019-04-08,2018,Danbury,94 & 98 BEAVER BROOK RD,104600.0,25000.0,4.184,,,-73.2455772,41.2082656,19.2,9.3
2019-04-15,2018,New Fairfield,99 PINE HILL RD,286400.0,375000.0,0.763733333,Single Family,Single Family,-73.50765,41.50158,17.0,20.7
2019-04-01,2018,East Hartford,136 WOODYCREST DR,82270.0,137000.0,0.6005,Single Family,Single Family,-72.6104137,41.7395029,7.0,0.0
2019-04-01,2018,Bristol,20 MELROSE ST,90580.0,150000.0,0.6038,Single Family,Single Family,-72.6026408,41.7146967,7.0,0.0
2019-04-22,2018,Meriden,42 HOBSON AVE,90440.0,161000.0,0.56173913,Single Family,Single Family,-72.8187832,41.5278844,16.6,14.9
2019-04-08,2018,Bristol,85 PINEHURST RD,243740.0,400000.0,0.6093,Single Family,Single Family,-72.968467,41.6924466,11.4,10.1
2019-04-29,2018,Fairfield,604 MINE HILL ROAD,691460.0,1170000.0,0.5909,Single Family,Single Family,-73.2834097,41.1783653,12.7,0.0
2019-04-08,2018,Lisbon,114 NEWENT ROAD,116310.0,166000.0,0.7006,Single Family,Single Family,-72.0040954,41.6064075,14.3,10.1
2019-04-01,2018,New Britain,55 CABOT ST,93240.0,98000.0,0.9514,Single Family,Single Family,-72.693201,41.7792365,6.9,0.0
2019-04-29,2018,Hamden,203 RIDGEWOOD AVE,244300.0,200000.0,1.2215,Single Family,Single Family,-72.9042676,41.3653689,13.7,0.0
2019-04-29,2018,Clinton,107 KELSEYTOWN RD,150000.0,237500.0,0.6315,Single Family,Single Family,-72.516605,41.3255387,12.0,0.0
2019-04-01,2018,Guilford,52 WATER LILY LN,266860.0,540000.0,0.4941,Single Family,Single Family,-72.69927,41.34596,7.5,0.0
2019-04-29,2018,Meriden,465 PRATT ST,62300.0,70200.0,0.8874,Two Family,Two Family,-73.2005,41.21536,13.7,0.0
2019-04-29,2018,Bridgeport,660 WILLIAM ST,93300.0,68000.0,1.372058824,Two Family,Two Family,-73.1850722,41.1933227,13.0,0.0
2019-04-29,2018,Colchester,52 ALEXANDER DR,128600.0,217900.0,0.5901,Single Family,Single Family,-72.3179614,41.5647254,14.4,0.0
2019-04-08,2018,Bridgeport,173-175 GOLDENROD AVE,181680.0,362628.0,0.501,Two Family,Two Family,-73.2169046,41.21021,19.1,9.3
2019-04-15,2018,Branford,165 FOXBRIDGE VILLAGE,133500.0,194900.0,0.6849,Condo,Condo,-72.8270391,41.3074525,16.8,24.3
2019-04-22,2018,East Lyme,27 GRISWOLD RD,175350.0,200000.0,0.8767,Single Family,Single Family,-72.2293083,41.3009728,16.4,14.4
2019-04-22,2018,Middletown,10 LOVELAND ST,113590.0,184900.0,0.6143,Two Family,Two Family,-72.6500288,41.5528287,17.1,21.7
2019-04-01,2018,Hamden,184 OBERLIN RD,111020.0,220000.0,0.5046,Single Family,Single Family,-72.9506231,41.3494602,7.8,0.0
2019-04-08,2018,North Branford,53 WOODHOUSE AVE,172200.0,206125.0,0.835415403,Single Family,Single Family,-72.7979051,41.3997222,17.6,9.4
2019-04-01,2018,Bridgeport,63 PEARL HARBOR,100760.0,215000.0,0.468651163,Two Family,Two Family,-73.1591732,41.2037435,7.5,0.0
2019-04-29,2018,East Hartford,150 CENTRAL AVE,87780.0,138000.0,0.636,Single Family,Single Family,-72.6377762,41.7692575,16.0,0.0
2019-04-22,2018,Bristol,415 EAST RD,102480.0,170000.0,0.6028,Single Family,Single Family,-72.933983,41.6643619,16.4,16.8
2019-04-08,2018,Hartford,755 WETHERSFIELD AVE #00G1,10675.0,34100.0,0.313049853,Condo,Condo,-72.67057,41.73522,12.8,8.7
2019-04-15,2018,Enfield,120 WILLARD DR,121180.0,193000.0,0.6278,Single Family,Single Family,-72.5081282,41.9909891,18.7,22.7
2019-04-15,2018,Bridgeport,271 SEASIDE AVE,200290.0,315000.0,0.6358,Single Family,Single Family,-73.0633472,41.2161362,17.2,21.5
2019-04-22,2018,Branford,32 SUNDANCE,55000.0,80000.0,0.6875,Condo,Condo,-73.584796,41.0623373,17.7,12.0
2019-04-22,2018,Colchester,22 WEST RD,205500.0,307000.0,0.6693,Single Family,Single Family,-72.3200302,41.4544901,16.9,18.9
2019-04-01,2018,East Hampton,28 MATHIEU LANE,175030.0,268500.0,0.6518,Single Family,Single Family,-72.4845319,41.5743736,6.0,0.0
2019-04-01,2018,Bridgeport,132 ALDINE AVE,117780.0,180000.0,0.6543,Single Family,Single Family,-73.2174785,41.1852055,7.3,0.0
2019-04-29,2018,Branford,44 CHERRY ST,217900.0,385000.0,0.5659,Single Family,Single Family,-72.963212,41.300353,12.8,0.0
2019-04-29,2018,Fairfield,192-194 HIGH STREET,276640.0,406000.0,0.6813,Two Family,Two Family,-73.0582733,41.2202148,12.7,0.0
2019-04-29,2018,Ansonia,31 BENZ ST,222100.0,341249.0,0.650844398,Single Family,Single Family,-73.0604292,41.3429188,13.8,0.0
2019-04-08,2018,Brookfield,4 DEAN RD,185360.0,320000.0,0.5792,Single Family,Single Family,-73.4021648,41.4687096,21.3,10.6
2019-04-22,2018,New Britain,70 GRANDVIEW ST,117810.0,134000.0,0.8791,Single Family,Single Family,-72.7805,41.68684,16.5,14.3
2019-04-22,2018,Hartford,133 WESTERLY TER,187600.0,485000.0,0.3868,Single Family,Single Family,-72.7132082,41.786208,17.4,20.6
2019-04-01,2018,Bristol,611 WOLCOTT RD,123970.0,186100.0,0.6661,Single Family,Single Family,-72.9634418,41.644902,5.0,0.0
2019-04-08,2018,Ledyard,34 WASHINGTON DR,161070.0,232750.0,0.692,Single Family,Single Family,-72.060514,41.4214771,14.4,8.9
2019-04-08,2018,New Milford,41 SULLIVAN FARM,204400.0,315000.0,0.6488,Condo,Condo,-73.4322177,41.5277799,21.1,11.7
2019-04-29,2018,Killingworth,25 COW PEN HILL ROAD,251310.0,385000.0,0.6527,Single Family,Single Family,-72.5852208,41.3373556,13.5,0.0
2019-04-29,2018,Bridgeport,365 GLENDALE AVE UNIT B2,39470.0,67750.0,0.5825,Condo,Condo,-73.21851,41.21234,13.7,0.0
2019-04-08,2018,Montville,7 NEW YORK RD,99650.0,163500.0,0.6094,Single Family,Single Family,-72.200243,41.4737103,15.1,7.6
2019-04-29,2018,Ansonia,7 GLEN DR,141700.0,200000.0,0.7085,Single Family,Single Family,-73.0427828,41.3265247,13.2,0.0
2019-04-15,2018,Hamden,210 OBERLIN RD,96180.0,90000.0,1.0686,Single Family,Single Family,-72.94995,41.34892,18.9,25.3
2019-04-01,2018,Milford,37 LENOX AVE,163180.0,272000.0,0.5999,Single Family,Single Family,-73.1025325,41.200485,7.6,0.0
2019-04-08,2018,Bridgeport,1207 CHOPSEY HILL RD,125770.0,210500.0,0.5974,Single Family,Single Family,-73.2033865,41.2171794,19.2,9.3
2019-04-15,2018,New Britain,331 HILLHURST AVE,101430.0,187500.0,0.54096,Single Family,Single Family,-72.81573,41.67796,18.0,19.0
2019-04-01,2018,Bridgeport,201 EXETER ST,93360.0,102000.0,0.915294118,Single Family,Single Family,-72.7004201,41.7271125,6.8,0.0
2019-04-01,2018,Branford,107 BURBAN DR,217900.0,266000.0,0.819172932,Single Family,Single Family,-72.8440627,41.2697965,7.9,0.0
2019-04-08,2018,Bridgeport,671 COLORADO AVE,14050.0,7500.0,1.873333333,,,-73.2135,41.17604,17.7,9.8
2019-04-22,2018,Brookfield,88 HEATHERWOOD DR,120690.0,205000.0,0.5887,Condo,Condo,-73.39078,41.42947,18.1,12.4
2019-04-01,2018,Bridgeport,2016 NORTH AVE,127360.0,307500.0,0.414178862,Single Family,Single Family,-73.2107154,41.1813569,7.3,0.0
2019-04-01,2018,New Milford,11 ESSEX RD,170800.0,164500.0,1.0382,Single Family,Single Family,-73.6667573,41.0290033,6.7,0.0
2019-04-29,2018,Bridgewater,80 STUART RD EAST,564780.0,1620000.0,0.3486,Single Family,Single Family,-73.3540137,41.5156502,13.8,0.0
2019-04-01,2018,East Haven,6 EMMA RD,160540.0,240000.0,0.6689,Single Family,Single Family,-72.8817549,41.2733058,7.9,0.0
2019-04-15,2018,Bridgeport,208 REMINGTON ST,56360.0,95000.0,0.5932,Single Family,Single Family,-73.1665898,41.1961988,17.1,21.5
2019-04-01,2018,Andover,91 WHEELING RD,220000.0,340000.0,0.647,Single Family,Single Family,-72.3633495,41.7553792,5.5,0.0
2019-04-01,2018,Bethel,11 RACEBROOK DRIVE,422240.0,625000.0,0.6755,Single Family,Single Family,-73.3678054,41.3843843,6.3,0.0
2019-04-08,2018,Bristol,97 DEERPARK RD,153860.0,225000.0,0.6838,Single Family,Single Family,-72.9066,41.7097,12.0,10.1
2019-04-22,2018,Bristol,24 COLONY ST,131740.0,187000.0,0.7044,Two Family,Two Family,-72.8022494,41.5392465,16.5,19.4
2019-04-15,2018,Derby,105 ROOSEVELT DR,68530.0,95000.0,0.7213,Two Family,Two Family,-73.2035395,41.2712175,16.7,20.5
2019-04-22,2018,East Lyme,91 E PATTAGANSETT RD,117950.0,141000.0,0.8365,Single Family,Single Family,-72.2047832,41.329956,16.5,14.4
2019-04-08,2018,Monroe,26 YANKEE HILL RD,251400.0,370000.0,0.6794,Single Family,Single Family,-73.5293066,41.2760401,21.2,7.5
2019-04-22,2018,North Canaan,196 CHURCH ST,102330.0,32000.0,3.1978125,Single Family,Single Family,-72.6855649,41.2910088,16.3,18.7
2019-04-22,2018,Ledyard,5 COACHMAN PIKE',166180.0,297000.0,0.5595,Single Family,Single Family,-72.0021451,41.4684307,16.3,13.3
2019-04-22,2018,New Fairfield,8 RIDGE RD,203400.0,292500.0,0.6953,Single Family,Single Family,-72.6391377,41.6330496,16.9,20.9
2019-04-08,2018,Enfield,20 ORBIT DR,117310.0,229000.0,0.5122,Single Family,Single Family,-72.5972276,41.9673204,10.6,10.6
2019-04-08,2018,Lisbon,104 PRESTON ALLEN ROAD,114020.0,176000.0,0.6478,Single Family,Single Family,-72.0329894,41.5885404,14.5,7.7
2019-04-08,2018,East Hartford,135 OAK ST,163180.0,285000.0,0.5725,Single Family,Single Family,-72.580536,41.7611342,12.4,9.1
2019-04-15,2018,Fairfield,61 SILLIMAN STREET,306880.0,445000.0,0.6896,Condo,Condo,-73.2363648,41.1697059,16.7,18.5
2019-04-15,2018,Hartland,245 OLD FORGE RD,121130.0,179900.0,0.67331851,Single Family,Single Family,-73.0000158,42.008334,18.0,17.6
2019-04-29,2018,Ledyard,86 INDIANTOWN RD,172900.0,30360.0,5.6949,Single Family,Single Family,-71.9620989,41.4546052,13.3,0.0
2019-04-01,2018,Hartford,41 WINDHAM ST,49140.0,159000.0,0.309056604,Single Family,Single Family,-72.7109336,41.7280407,6.8,0.0
2019-04-15,2018,Fairfield,230 ROBIN LANE,251860.0,732500.0,0.3438,Single Family,Single Family,-73.2522424,41.1707792,16.7,18.5
2019-04-01,2018,Bridgeport,467 LEXINGTON AVE,17260.0,22000.0,0.784545455,Condo,Condo,-72.8825816,41.3091637,7.8,0.0
2019-04-01,2018,Ellington,133 ORCHARD ST,101330.0,145000.0,0.6988,Single Family,Single Family,-72.9423781,41.3051787,8.2,0.0
2019-04-08,2018,Bloomfield,2 OLD VILLAGE RD,118440.0,259900.0,0.455713736,Single Family,Single Family,-72.72819,41.83787,11.0,10.6
2019-04-01,2018,Meriden,27 RANDOLPH AVE,103320.0,138000.0,0.7486,Two Family,Two Family,-72.8083,41.53764,7.3,0.0
2019-04-01,2018,Enfield,4 OLD KING ST,197080.0,280000.0,0.7038,Single Family,Single Family,-72.5936673,41.9636363,6.4,0.0
2019-04-01,2018,Berlin,749 CHAMBERLAIN HWY,163400.0,75000.0,2.178666667,Single Family,Single Family,-72.7930054,41.6164828,7.0,0.0
2019-04-01,2018,Fairfield,3595 PARK AVENUE,247660.0,325000.0,0.762,Single Family,Single Family,-73.2252,41.20484,7.2,0.0
2019-04-01,2018,New Fairfield,1 ROCK RIDGE CT,313300.0,575000.0,0.5448,Single Family,Single Family,-72.47939,41.748168,5.3,0.0
2019-04-15,2018,Bristol,78 WESTWOOD RD,201390.0,305000.0,0.6602,Single Family,Single Family,-72.9610111,41.7069383,17.1,21.2
2019-04-15,2018,New Fairfield,3 PRINCETON LN,272200.0,490000.0,0.5555,Single Family,Single Family,-73.5246107,41.4746026,17.1,21.8
2019-04-15,2018,East Haven,281 DODGE AVE,112580.0,229000.0,0.491615721,Single Family,Single Family,-72.88445,41.2721148,17.0,24.3
2019-04-01,2018,Danbury,82 NORTH ST,216600.0,300000.0,0.722,,,-73.1826536,41.3184805,6.5,0.0
2019-04-15,2018,Hamden,105 OLD FARM RD,338870.0,380000.0,0.8917,Single Family,Single Family,-72.8961133,41.3634401,18.7,25.3
2019-04-15,2018,Glastonbury,42 RIDGE RD,746700.0,1210000.0,0.6171,Single Family,Single Family,-73.4561959,41.4843185,17.6,19.7
2019-04-01,2018,Hartford,150 ADAMS ST,54530.0,78750.0,0.6924,Three Family,Three Family,-72.699336,41.7852952,6.8,0.0
2019-04-08,2018,Coventry,167 RICHMOND RD,107600.0,175000.0,0.6148,Single Family,Single Family,-72.3224581,41.7964269,13.7,10.4
2019-04-22,2018,Bridgeport,36-38 BROADWAY AVE,148410.0,370000.0,0.401108108,Two Family,Two Family,-71.9639932,41.3544655,16.4,12.6
2019-04-29,2018,Bridgeport,91 FEDERAL ST,125300.0,230000.0,0.5447,Two Family,Two Family,-72.9344096,41.3620924,13.7,0.0
2019-04-15,2018,Milford,194 OAK RIDGE LN,228380.0,336500.0,0.6786,Single Family,Single Family,-73.0859849,41.2407246,17.0,21.5
2019-04-08,2018,Bridgeport,116 BRADLEY ST,99380.0,182000.0,0.546,Two Family,Two Family,-72.8231413,41.2755295,16.0,8.9
2019-04-15,2018,Bloomfield,77 DARBY ST,135450.0,157000.0,0.862738854,Single Family,Single Family,-72.6988247,41.8080054,18.1,18.7
2019-04-29,2018,Milford,38 KNOLLWOOD RD,171970.0,240000.0,0.7165,Single Family,Single Family,-72.9010905,41.3783566,13.7,0.0
2019-04-15,2018,Berlin,100 SILVER ISLAND WAY UNIT 6,52500.0,50000.0,1.05,Condo,Condo,-72.77225,41.57757,18.7,22.0
2019-04-08,2018,Bristol,81 EASTWOOD RD,174020.0,236000.0,0.7373,Single Family,Single Family,-72.0608447,41.3247966,11.1,8.9
2019-04-01,2018,New Haven,675 TOWNSEND AV #144,113960.0,127000.0,0.8973,Condo,Condo,-72.8961929,41.2749039,8.1,0.0
2019-04-08,2018,Newington,222 ROBBINS AVE,119010.0,232000.0,0.5129,Single Family,Single Family,-72.7318794,41.6838607,13.9,8.9
2019-04-01,2018,Bridgeport,61 HOPE ST,92290.0,200000.0,0.46145,Single Family,Single Family,-73.2209721,41.1601825,7.4,0.0
2019-04-01,2018,Danbury,67 OLD LANTERN RD,201800.0,335000.0,0.6023,Single Family,Single Family,-73.4256345,41.338035,6.1,0.0
2019-04-29,2018,East Haddam,3 CEDAR MEADOW RD,37920.0,45000.0,0.8426,,,-72.4518393,41.4935902,14.5,0.0
2019-04-01,2018,Deep River,228 WEST ELM ST,176610.0,325000.0,0.5434,,,-72.4541209,41.3805867,7.7,0.0
2019-04-15,2018,Fairfield,45 HARVESTER ROAD,223720.0,322000.0,0.6947,Single Family,Single Family,-73.2473664,41.2018689,16.8,20.5
2019-04-01,2018,Beacon Falls,83 FIELDSTONE LANE,0.0,569448.0,0.0,Condo,Condo,-73.5348337,41.0728671,6.8,0.0
2019-04-29,2018,East Haddam,3 MARY LANE,401180.0,475000.0,0.8445,Single Family,Single Family,-72.4686658,41.8555829,14.8,0.0
2019-04-29,2018,Danbury,WALLINGFORD RD,172000.0,500000.0,0.344,,,-72.690295,41.4770282,14.9,0.0
2019-04-08,2018,New Haven,288 MCKINLEY AV,303730.0,385000.0,0.7889,Single Family,Single Family,-73.1410137,41.1762607,17.7,9.8
2019-04-22,2018,Enfield,7 DUST HOUSE RD,93940.0,210000.0,0.4473,,,-72.54135,41.98278,17.8,19.0
2019-04-08,2018,Manchester,37 BILYEU ROAD,93300.0,137000.0,0.681,Single Family,Single Family,-72.5372763,41.7911063,12.3,9.1
2019-04-22,2018,Fairfield,70 SKY TOP TERRACE,245910.0,580000.0,0.4239,Single Family,Single Family,-73.2329862,41.2072498,16.5,14.6
2019-04-15,2018,Manchester,58 CHARIS ROAD,110300.0,153000.0,0.7209,Single Family,Single Family,-72.5140049,41.8077531,19.4,20.0
2019-04-22,2018,Mansfield,10 CHARLES LA,191300.0,224000.0,0.854,Single Family,Single Family,-72.211143,41.8178134,16.7,19.9
2019-04-01,2018,Brooklyn,47 TATNIC HILL RD,147000.0,257000.0,0.5719,Single Family,Single Family,-71.975145,41.7707086,5.2,0.0
2019-04-15,2018,Southbury,PLAYHOUSE CORNER #204,93930.0,65000.0,1.445,,,-73.2137002,41.4781162,18.2,24.1
2019-04-08,2018,Bridgeport,56 CAMP PLACE,90380.0,230000.0,0.392956522,Single Family,Single Family,-73.19398,41.22566,19.2,9.3
2019-04-15,2018,Easton,300 STAPLES ROAD,508570.0,369900.0,1.3748,Single Family,Single Family,-73.31911,41.26825,17.9,21.8
2019-04-15,2018,Fairfield,57 MARLBOROUGH TERRACE,273560.0,475000.0,0.5759,Single Family,Single Family,-73.2288625,41.1823082,16.7,18.5
2019-04-08,2018,Berlin,30 WOODHAVEN DRIVE,162600.0,257000.0,0.6326,Single Family,Single Family,-72.8702921,41.7869787,11.0,10.1
2019-04-01,2018,Groton,4 FENWICK CT,141820.0,184900.0,0.767009194,Single Family,Single Family,-71.98644,41.3763,6.8,0.0
2019-04-15,2018,East Hartford,26 BODWELL RD,108160.0,123000.0,0.8793,Single Family,Single Family,-72.5846267,41.78464,19.6,20.0
2019-04-01,2018,Manchester,9 STAR FARMS DRIVE,260800.0,420000.0,0.6209,Single Family,Single Family,-72.5681876,41.7562517,6.8,0.0
2019-04-29,2018,Milford,39 OLD POINT RD,185890.0,265000.0,0.7014,Single Family,Single Family,-73.0883572,41.1988244,12.7,0.0
2019-04-08,2018,Hartford,233 MOUNTAIN RD,41965.0,140000.0,0.2997,Single Family,Single Family,-73.4980052,41.3430786,20.9,9.0
2019-04-01,2018,Bristol,118 CANDLEWOOD DR,135030.0,250000.0,0.5401,Single Family,Single Family,-72.5757771,41.8233423,6.7,0.0
2019-04-29,2018,Bridgeport,614 BISHOP AVE,130430.0,220000.0,0.5928,Three Family,Three Family,-73.1571017,41.190646,13.0,0.0
2019-04-22,2018,Bridgeport,292 MADISON AVE,195560.0,385000.0,0.5079,Four Family,Four Family,-73.1978379,41.1877356,16.5,14.8
2019-04-29,2018,Meriden,49 HILLWOOD LA,131530.0,195000.0,0.674512821,Single Family,Single Family,-72.80146,41.51777,14.8,0.0
2019-04-01,2018,East Haddam,136 TATER HILL RD,249580.0,436000.0,0.5724,Single Family,Single Family,-72.365564,41.448988,6.6,0.0
2019-04-22,2018,Bristol,248 MORNINGSIDE DR EAST,88200.0,133000.0,0.6631,Single Family,Single Family,-72.9071819,41.6877889,16.7,18.1
2019-04-01,2018,Bridgeport,109 LOUISIANA AVE,35930.0,87000.0,0.412988506,Condo,Condo,-73.1771141,41.2096771,7.5,0.0
2019-04-15,2018,Bridgeport,1657-1663 FAIRFIELD AVE,191090.0,361000.0,0.5293,,,-73.21313,41.16979,16.9,18.5
2019-04-22,2018,Branford,130 WATCH HILL RD,124700.0,145000.0,0.86,Condo,Condo,-72.8283016,41.3043255,16.0,17.6
2019-04-22,2018,New Britain,170-D BRITTANY FARMS,97790.0,131000.0,0.7464,Condo,Condo,-72.7753098,41.7117591,16.4,14.2
2019-04-29,2018,Granby,10 WELLS RD,214870.0,360000.0,0.5968,Single Family,Single Family,-72.6596883,41.7057483,16.1,0.0
2019-04-01,2018,Meriden,133 CHAMBERLAIN HWY,263060.0,273000.0,0.963589744,,,-72.7903361,41.6324112,7.0,0.0
2019-04-29,2018,Farmington,1 ACORN LANE,107440.0,160000.0,0.6715,Condo,Condo,-72.89065,41.72296,14.9,0.0
2019-04-01,2018,Bristol,102 HENDERSON ST,98490.0,165000.0,0.5969,Single Family,Single Family,-72.9403255,41.6924822,5.8,0.0
